                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4848,                 2.7739,                  1.494,                0.00517,                0.93939,                0.29031,                0.17099,                  1.468,                 3.1057,                 1.4163,                  2e-05,                  2e-05,                  2e-05
                      2,                 1.4022,                 2.7242,                 1.2246,                0.00533,                 0.9697,                0.65666,                0.39651,                 1.4459,                 3.0893,                  1.395,             5.9406e-05,             5.9406e-05,             5.9406e-05
                      3,                 1.3676,                 2.5803,                 1.3211,                0.00533,                 0.9697,                0.77493,                0.44743,                 1.4195,                 3.0537,                 1.3739,              9.802e-05,              9.802e-05,              9.802e-05
                      4,                 1.2853,                 2.2649,                 1.2262,                0.00517,                0.93939,                0.81747,                0.47288,                  1.319,                 2.9813,                 1.3196,             0.00013584,             0.00013584,             0.00013584
                      5,                 1.3361,                 1.8754,                 1.2221,                0.00926,                0.93939,                0.82521,                0.48699,                 1.3604,                 2.7805,                 1.3487,             0.00017287,             0.00017287,             0.00017287
                      6,                 1.2358,                 1.5224,                 1.2039,                      1,                0.46992,                0.81743,                0.48644,                  1.434,                  2.625,                 1.4184,             0.00020911,             0.00020911,             0.00020911
                      7,                  1.327,                 1.4561,                 1.2409,                0.95364,                0.57576,                0.82503,                0.46924,                 1.5473,                 2.4206,                 1.4577,             0.00024456,             0.00024456,             0.00024456
                      8,                 1.2835,                 1.4659,                  1.218,                 0.9527,                0.61049,                 0.8141,                0.43501,                  1.675,                 2.4847,                 1.5347,             0.00027921,             0.00027921,             0.00027921
                      9,                 1.1436,                 1.4373,                 1.1237,                0.87619,                0.64355,                0.78956,                0.40619,                  1.683,                  2.491,                 1.5524,             0.00031307,             0.00031307,             0.00031307
                     10,                 1.2476,                 1.3489,                 1.2094,                0.87234,                0.62155,                0.79112,                0.40582,                 1.6694,                 2.4913,                 1.5367,             0.00034614,             0.00034614,             0.00034614
                     11,                 1.2234,                 1.3255,                 1.2005,                0.94906,                0.56496,                 0.7934,                0.42416,                 1.6156,                 2.5216,                 1.5223,             0.00037842,             0.00037842,             0.00037842
                     12,                 1.1294,                  1.309,                 1.1464,                 0.9452,                0.52301,                0.79911,                0.40296,                 1.6287,                 2.5771,                 1.5005,             0.00040991,             0.00040991,             0.00040991
                     13,                 1.0226,                 1.2988,                 1.1106,                0.96629,                0.48485,                0.80211,                0.39877,                 1.6845,                 2.5645,                 1.5089,              0.0004406,              0.0004406,              0.0004406
                     14,                 1.2205,                 1.4182,                 1.1297,                0.93148,                0.54545,                0.82501,                0.41691,                 1.6563,                 2.5204,                  1.469,              0.0004705,              0.0004705,              0.0004705
                     15,                 1.1211,                 1.3716,                 1.1904,                0.93208,                0.66667,                0.85975,                 0.4514,                 1.6144,                 2.4048,                  1.442,             0.00049961,             0.00049961,             0.00049961
                     16,                 1.1031,                 1.3705,                 1.1804,                0.93776,                0.66667,                0.86644,                 0.4864,                 1.5731,                 2.3699,                 1.4303,             0.00052793,             0.00052793,             0.00052793
                     17,                 1.2086,                 1.3693,                 1.1935,                      1,                0.73396,                0.86793,                0.46834,                 1.6649,                 2.2887,                  1.522,             0.00055546,             0.00055546,             0.00055546
                     18,                 1.1635,                 1.3031,                  1.163,                0.93917,                0.75758,                0.88358,                0.44936,                 1.7096,                 2.2676,                 1.5813,             0.00058219,             0.00058219,             0.00058219
                     19,                  1.151,                  1.296,                 1.1741,                0.92759,                0.77669,                0.87382,                0.46712,                 1.6963,                 2.3179,                 1.6023,             0.00060813,             0.00060813,             0.00060813
                     20,                 1.0618,                 1.3502,                 1.1388,                0.80695,                0.72727,                0.81487,                0.41538,                 1.6924,                 2.3787,                  1.601,             0.00063328,             0.00063328,             0.00063328
                     21,                 1.0678,                 1.3439,                 1.1819,                0.78013,                0.64535,                0.74191,                 0.4059,                 1.6988,                 2.4037,                  1.588,             0.00065764,             0.00065764,             0.00065764
                     22,                 1.1721,                 1.3987,                 1.2333,                0.70076,                0.54545,                 0.7234,                0.37412,                 1.7453,                 2.5113,                 1.5997,             0.00068121,             0.00068121,             0.00068121
                     23,                  1.242,                 1.2762,                 1.1883,                0.89933,                0.54162,                 0.6936,                 0.3378,                  1.798,                 2.6348,                 1.6983,             0.00070398,             0.00070398,             0.00070398
                     24,                0.95794,                 1.2413,                 1.0744,                0.94063,                0.48037,                0.70003,                0.33178,                 1.8278,                 2.7138,                 1.7401,             0.00072596,             0.00072596,             0.00072596
                     25,                 1.1174,                 1.3337,                  1.214,                 0.8912,                0.54545,                0.69651,                0.29604,                 1.8765,                 2.6762,                 1.7718,             0.00074715,             0.00074715,             0.00074715
                     26,                 1.0227,                 1.2458,                 1.1195,                0.86319,                0.54545,                0.70633,                0.29338,                 1.9764,                 2.6473,                 1.8362,             0.00076755,             0.00076755,             0.00076755
                     27,                 1.0751,                 1.1925,                 1.1151,                0.80071,                0.60884,                0.76784,                  0.331,                 1.9583,                 2.4047,                 1.7486,             0.00078716,             0.00078716,             0.00078716
                     28,                 1.0989,                 1.1882,                 1.1834,                0.80071,                0.60884,                0.76784,                  0.331,                 1.9583,                 2.4047,                 1.7486,             0.00080597,             0.00080597,             0.00080597
                     29,                 1.0946,                 1.1006,                 1.1542,                0.77874,                0.72727,                0.77609,                0.33832,                 1.9263,                 2.1908,                 1.7156,             0.00082399,             0.00082399,             0.00082399
                     30,                 1.1089,                 1.1623,                 1.2063,                0.83446,                0.76394,                0.85023,                 0.4056,                 1.7295,                 1.9354,                 1.6381,             0.00084122,             0.00084122,             0.00084122
                     31,                 1.1268,                 1.1694,                 1.1933,                0.83446,                0.76394,                0.85023,                 0.4056,                 1.7295,                 1.9354,                 1.6381,             0.00085766,             0.00085766,             0.00085766
                     32,                 1.0415,                 1.0878,                 1.1465,                0.83461,                0.75758,                0.83813,                0.45244,                 1.6045,                 1.8771,                 1.4968,             0.00087331,             0.00087331,             0.00087331
                     33,                 1.0884,                 1.1954,                 1.2013,                0.87796,                0.72727,                0.81675,                0.42473,                 1.6308,                 1.9543,                 1.5026,             0.00088816,             0.00088816,             0.00088816
                     34,                 1.1439,                 1.1959,                 1.2169,                0.87796,                0.72727,                0.81675,                0.42473,                 1.6308,                 1.9543,                 1.5026,             0.00090222,             0.00090222,             0.00090222
                     35,                 1.0943,                 1.1933,                 1.1429,                0.86597,                0.66667,                0.76727,                0.35466,                 1.7703,                 2.0939,                 1.6076,             0.00091549,             0.00091549,             0.00091549
                     36,                 1.0454,                 1.1577,                 1.1085,                0.84459,                0.65895,                 0.7495,                0.32996,                 1.9026,                 2.2738,                 1.7174,             0.00092797,             0.00092797,             0.00092797
                     37,                 1.0561,                 1.1409,                  1.096,                0.84459,                0.65895,                 0.7495,                0.32996,                 1.9026,                 2.2738,                 1.7174,             0.00093966,             0.00093966,             0.00093966
                     38,                 1.1424,                 1.2257,                 1.1998,                0.80162,                0.63636,                0.68833,                0.31404,                 1.9657,                 2.3327,                 1.7796,             0.00095055,             0.00095055,             0.00095055
                     39,                 1.1369,                 1.2255,                 1.1366,                0.71221,                0.66667,                0.69127,                  0.344,                 1.7962,                 2.2047,                 1.7287,             0.00096065,             0.00096065,             0.00096065
                     40,                  1.106,                 1.1894,                 1.1276,                0.71221,                0.66667,                0.69127,                  0.344,                 1.7962,                 2.2047,                 1.7287,             0.00096996,             0.00096996,             0.00096996
                     41,                 1.1249,                 1.1449,                 1.1386,                0.75589,                0.63636,                0.70501,                0.35136,                  1.687,                 2.2662,                 1.6751,             0.00097848,             0.00097848,             0.00097848
                     42,                 1.1113,                 1.1334,                 1.1496,                0.70184,                0.57079,                0.59336,                 0.3037,                 1.8265,                 2.3376,                 1.7718,             0.00098621,             0.00098621,             0.00098621
                     43,                 1.1346,                 1.1522,                 1.1663,                0.70184,                0.57079,                0.59336,                 0.3037,                 1.8265,                 2.3376,                 1.7718,             0.00099314,             0.00099314,             0.00099314
                     44,                 1.1548,                 1.3613,                 1.2064,                 0.7515,                0.63636,                0.72371,                0.36705,                 1.7627,                 2.1246,                 1.6789,             0.00099928,             0.00099928,             0.00099928
                     45,                 1.0354,                 1.0773,                 1.0997,                 0.7515,                0.63636,                0.72371,                0.36705,                 1.7627,                 2.1246,                 1.6789,              0.0010046,              0.0010046,              0.0010046
                     46,                 1.1378,                 1.1779,                 1.1659,                0.89245,                0.60606,                0.75175,                 0.3805,                 1.8435,                 2.0506,                 1.7221,              0.0010092,              0.0010092,              0.0010092
                     47,                 1.0597,                 1.2454,                 1.1655,                0.89245,                0.60606,                0.75175,                 0.3805,                 1.8435,                 2.0506,                 1.7221,               0.001013,               0.001013,               0.001013
                     48,                 1.0252,                 1.0785,                 1.1137,                0.58299,                0.84848,                0.73558,                 0.3558,                 1.9129,                 2.0999,                 1.7862,              0.0010159,              0.0010159,              0.0010159
                     49,                 1.1381,                  1.362,                 1.2525,                0.58299,                0.84848,                0.73558,                 0.3558,                 1.9129,                 2.0999,                 1.7862,              0.0010181,              0.0010181,              0.0010181
                     50,                 1.0297,                 1.1773,                 1.1171,                0.58813,                0.77902,                0.69237,                0.34186,                 1.8953,                  2.223,                 1.7884,              0.0010195,              0.0010195,              0.0010195
                     51,                  0.939,                 1.0541,                 1.0757,                0.58813,                0.77902,                0.69237,                0.34186,                 1.8953,                  2.223,                 1.7884,                0.00101,                0.00101,                0.00101
                     52,                 1.0961,                 1.1596,                  1.182,                0.43721,                0.63636,                0.52711,                0.26025,                 1.8481,                 2.6082,                 1.8701,                0.00101,                0.00101,                0.00101
                     53,                 1.1221,                 1.1642,                 1.1345,                0.43721,                0.63636,                0.52711,                0.26025,                 1.8481,                 2.6082,                 1.8701,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.1417,                 1.2048,                 1.1636,                0.82834,                0.39394,                0.43044,                 0.1974,                 2.1565,                 2.7501,                 2.0538,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.1208,                 1.2043,                 1.1811,                0.82834,                0.39394,                0.43044,                 0.1974,                 2.1565,                 2.7501,                 2.0538,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.0893,                 1.1151,                 1.1071,                0.67465,                0.48485,                0.60662,                0.33058,                 1.8989,                 2.2894,                 1.7325,              0.0009308,              0.0009308,              0.0009308
                     57,                0.98979,                  1.069,                 1.0626,                0.67465,                0.48485,                0.60662,                0.33058,                 1.8989,                 2.2894,                 1.7325,               0.000911,               0.000911,               0.000911
                     58,                0.96523,                  1.025,                 1.0679,                0.83451,                0.61142,                0.78315,                0.34787,                 1.9682,                 1.9232,                 1.8282,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.0532,                 1.3069,                 1.1709,                0.83451,                0.61142,                0.78315,                0.34787,                 1.9682,                 1.9232,                 1.8282,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.1591,                 1.1634,                 1.1856,                  0.772,                0.71845,                0.81396,                0.36607,                 1.9124,                 1.9403,                 1.7848,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.0714,                 1.1187,                 1.1406,                  0.772,                0.71845,                0.81396,                0.36607,                 1.9124,                 1.9403,                 1.7848,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.0632,                 1.1411,                 1.2388,                0.95203,                0.60161,                0.77473,                0.37117,                 1.9168,                 1.9245,                 1.7342,               0.000812,               0.000812,               0.000812
                     63,                 1.0759,                 1.1101,                 1.1069,                0.95203,                0.60161,                0.77473,                0.37117,                 1.9168,                 1.9245,                 1.7342,              0.0007922,              0.0007922,              0.0007922
                     64,                 1.0139,                 1.0048,                 1.0645,                0.83511,                0.66667,                 0.8019,                0.40405,                 1.7836,                 1.8918,                 1.6464,              0.0007724,              0.0007724,              0.0007724
                     65,                0.95331,                 1.1442,                 1.1236,                0.83511,                0.66667,                 0.8019,                0.40405,                 1.7836,                 1.8918,                 1.6464,              0.0007526,              0.0007526,              0.0007526
                     66,                0.99194,                 1.0745,                 1.0841,                0.95802,                0.69169,                0.83427,                0.44364,                 1.7336,                 1.8075,                 1.6336,              0.0007328,              0.0007328,              0.0007328
